t,sigma_us,p_scr,cip_model_bps,FX_model
127,0.449826786882474,0.000661031167451548,86.6744164511396,1.02920812013102
128,0.41260577703356,0.00216612632974916,74.5433406704354,1.025882708789
129,0.42551711501247,0.0010216489442999,78.9769519447414,1.02708672790774
130,0.421226526610944,0.000621611298917201,77.5028997571273,1.02669153616929
131,0.412303218495473,0.000615982581467178,74.4380749154566,1.02586388211253
132,0.403981687871311,0.000616790938702886,71.5799439172592,1.02509200501218
133,0.392753168073112,0.000656257418833634,67.3214529677913,1.02396909458323
134,0.409630684709334,0.00109859763288729,73.5205666446875,1.02561322373682
135,0.391711091035461,0.000845582345485489,66.9027153665086,1.02385931680058
136,0.389671535365408,0.000620999745290028,66.0827765928791,1.02364698817684
137,0.395180669153982,0.000679228634212391,68.297196741984,1.02422283667789
138,0.391707998143724,0.000608332459253752,66.9013185311096,1.02386000394543
139,0.375857121039602,0.000780272797608309,60.5301853982689,1.02220189690452
140,0.367374541121576,0.000654307498362783,57.1205776331153,1.02131522304361
141,0.351206622311632,0.000861437879511561,49.6611214301394,1.01943587583942
142,0.336974583926723,0.000843408426411705,42.9831652095631,1.01776003267167
143,0.336148195906808,0.000623065384089185,42.5954431737839,1.01766252029881
144,0.316131586656408,0.00129817087303215,31.8077061293789,1.01504064208717
145,0.306302944406777,0.000784890097976138,26.4401630869547,1.01373722484758
146,0.323741724850064,0.0013206648925057,35.9639968757134,1.01604823449566
147,0.326495942861688,0.000672829357502731,37.4684529015741,1.01641159584372
148,0.315447529971894,0.000760584797173988,31.4344220634339,1.01494836074337
149,0.328738318553145,0.00096455873586596,38.6930138287448,1.01670913145058
150,0.347612346001986,0.00144412918154982,47.9746297592165,1.01901252852157
151,0.34294695402736,0.000672700985855009,45.7855283192105,1.01846324885403
152,0.357400381338055,0.00100716546324187,52.5673849631661,1.02016502290415
153,0.37317806189092,0.00111414701745173,59.45347876132,1.02192089233777
154,0.342822454701328,0.00262830989127513,45.7270085995841,1.01844910667062
155,0.366091351760514,0.00235907413058221,56.605358764981,1.02117759652972
156,0.347574579777229,0.00116513318758822,47.9569016573405,1.0190081400725
157,0.328480881543359,0.00118934174305899,38.5523451031262,1.01667543180781
158,0.33392361453908,0.000708107754892028,41.5249938705179,1.01739553420633
159,0.339110831345319,0.000671266464125051,43.9855543476315,1.01801147173382
160,0.320962402839238,0.00110619694368012,34.4461615204476,1.0156797205515
161,0.317740381033008,0.000643422023333547,32.6867069185562,1.01525171409343
162,0.324414489167281,0.000691489062105481,36.3316805034672,1.0161359195283
163,0.319246040015993,0.000633519431676896,33.5090114900462,1.01545113692377
164,0.346334244923225,0.0032104411975726,47.3749157252526,1.0188619638056
165,0.334005795665011,0.000972500128228799,41.5698240015013,1.0174067206043
166,0.318722977007688,0.000962849607649412,33.2231756304118,1.01538277947968
167,0.311261185408738,0.000692091770627069,29.1481306960582,1.01439361176698
168,0.319433885365748,0.000732904974811359,33.6115511463231,1.01547629382517
169,0.337136794615991,0.00130902003869626,43.0592099574687,1.01777951781089
170,0.312233638667208,0.00220660564644317,29.6782355516905,1.01452779766858
171,0.347283181460123,0.0111526411845336,47.8203756861074,1.01897210511456
172,0.337964832425407,0.00144731386991282,43.4477297881357,1.01787708600757
173,0.342900472434467,0.000719869217596679,45.7637159513564,1.01845778694386
174,0.334897029947297,0.000667522783408378,42.0083677048005,1.01751521217396
175,0.319317120006715,0.000946969856202926,33.5476724859822,1.01546141898255
176,0.330434904488949,0.000866574664133567,39.6196242394061,1.01693366277051
177,0.353429284832338,0.00203697787363519,50.7041818255788,1.01969667997555
178,0.356956016916715,0.000741363261039907,52.3588316355282,1.02011300444925
179,0.343714703261506,0.000782232149702246,46.1457652005298,1.01855368538978
180,0.328028887082957,0.000930124507263013,38.3055717731771,1.01661511839888
181,0.320674218093234,0.000681109303549575,34.2889726526751,1.01564044945747
182,0.33213233949963,0.000858365575395401,40.5466701016843,1.0171584640832
183,0.316770396201708,0.000963915665289959,32.1567808370163,1.01512419906772
184,0.294617245785522,0.00193875185901653,19.0876912577495,1.01201509687929
185,0.292807367770079,0.000683247424134002,17.9425700535899,1.0117387697078
186,0.292475475466036,0.000599078796161489,17.7324261114714,1.01168889996585
187,0.290349963284012,0.000599290917263715,16.3860071250269,1.01137269040733
188,0.293165308936407,0.000607630831635831,18.1693957560972,1.01179157582961
189,0.320099274841879,0.00375037721165214,33.9734707677076,1.01557250694133
190,0.293612159574538,0.00404782247303479,18.4486351472265,1.01187791511668
191,0.311810286639628,0.00194251601645379,29.4471876567521,1.01447084142533
192,0.294264676578267,0.00140655565226566,18.8649235911352,1.01195967461524
193,0.292279752346885,0.000650308999165172,17.6083853972654,1.0116600866461
194,0.315746714499689,0.00247888183328137,31.5968213582785,1.0149934167043
195,0.310583167855961,0.000754983552311453,28.7777946385397,1.01430403501849
196,0.294539478732988,0.00111128847283635,19.0393252816237,1.01199885843877
197,0.292970046849672,0.000629561397507164,18.0456810151897,1.0117626554088
198,0.293530619919613,0.000596917417652275,18.4008162445992,1.01184586052208
199,0.278693418760514,0.00108683273350797,8.91214395973691,1.00962593816333
200,0.279385891470781,0.000616731300075784,9.41948989526072,1.00973781612908
201,0.289409843589229,0.000781897946714256,15.7902594459273,1.01123397918165
202,0.274633851836827,0.00112803662513925,5.94190063488541,1.00894960755217
203,0.294017219816783,0.00178494383329285,18.7077490859683,1.01192505108487
204,0.293895146687996,0.000669185341323035,18.6316482145272,1.01190050569768
205,0.269755546907139,0.00318918035974824,2.36897556635533,1.00815481021162
206,0.292187488581746,0.00314049681343766,17.5470807064894,1.01166117935017
207,0.268426349231516,0.00389652193699664,1.39507353499996,1.00794005819027
208,0.256819295887994,0.00126526571832986,-7.09241990137675,1.00598175777433
209,0.26114895871658,0.00063907000970967,-3.92329933747883,1.00669702526976
210,0.264531635346641,0.000591365686906206,-1.44832474939129,1.0072606188981
211,0.246877127218456,0.001845374640324,-15.3315907958527,1.00415767212549
212,0.247440371078919,0.00063321431679679,-14.8549667550381,1.00424788778522
213,0.254306526108892,0.000643202713159492,-9.08332459945939,1.00552827666449
214,0.236325495920339,0.00218576889852488,-24.2027894295951,1.00219689961523
215,0.244152025998431,0.000769300291388956,-17.6195076117735,1.00363645588464
216,0.228611233464899,0.00174242617997475,-31.3111529030431,1.00064105039554
217,0.229289799104119,0.00060358075454195,-30.6563834315282,1.00076485506067
218,0.235208321053669,0.000593103044973728,-25.1370609750403,1.00196650991045
219,0.235119169358856,0.000548742840759188,-25.2118650686353,1.00194926284127
220,0.220239464994437,0.00170119151354332,-39.3423124910754,0.998901682273958
221,0.219373888747536,0.000601866158755035,-40.1685137352508,0.998703490474266
222,0.22518860399147,0.000575547038323716,-34.5904799897179,0.999911850401149
223,0.212645006729685,0.00134178187868441,-46.7836147892057,0.997289223425006
224,0.21897019682417,0.000622917642640343,-40.5558476916614,0.998619924399917
225,0.213727541005853,0.000653901916370268,-45.6064856537196,0.997526740126933
226,0.214794785768004,0.000519752102668615,-44.5608271979186,0.997750136569806
227,0.226301036071173,0.00083000542338271,-33.5242314548203,1.00014706774629
228,0.229368576477406,0.000555739611679111,-30.5806544389604,1.00078051278906
229,0.22760878361887,0.000557377693726799,-32.268790630262,1.00041469464052
230,0.227598767368266,0.000537624373519729,-32.2783315560195,1.00041230957878
231,0.284695853078246,0.973741068835448,11.4943735713886,1.01722835509676
232,0.275163034666355,0.392454029947638,5.69293257018868,1.01222038045825
233,0.273561047645533,0.0370203002584632,5.0967594659797,1.00907070342515
234,0.248799529111235,0.0240686288293369,-13.7718417185196,1.00478060019629
235,0.223088793680353,0.0363555467724142,-36.7344361639818,1.00005176659748
236,0.233323067662756,0.00370475289112653,-26.7971132001468,1.00164775457866
237,0.224325392634771,0.00113825807990332,-35.4205472075893,0.999741345337349
238,0.224896592748474,0.000563602441095995,-34.8705579431182,0.999850956511012
239,0.198316357070219,0.0292366960672629,-62.4630570159461,0.99456146527391
240,0.143874276405769,0.999999995431826,-134.887257733351,1.01220315762441
241,0.139188210778766,0.408990142778005,-136.956551139908,0.991549664533379
242,0.138382725673574,0.0268151867351955,-137.374445094018,0.97808594352958
243,0.139718961305125,0.00135013779472855,-135.879307533445,0.977610959255366
244,0.141792425457487,0.000378366134548502,-133.588182824422,0.978216354377226
245,0.13135246702509,0.00270307707940668,-139.02071653489,0.975163798004744
246,0.119883020941689,0.00685414776396119,-139.018519352286,0.972016550445637
247,0.111802358137881,0.00334330782271988,-139.016754115115,0.969607083126302
248,0.118044022004945,0.000420961017645091,-139.017979664092,0.971240361569153
249,0.1224020514313,0.000289528528364496,-139.018871213861,0.972472900895949
250,0.119575215234526,0.000452408002952462,-139.018294846939,0.971676452093017
251,0.122518603908889,0.000282333275616091,-139.018894969554,0.972505725257311
252,0.119254383058538,0.00048929996119821,-139.018229908339,0.971586802578232
253,0.109332173494764,0.00439064562417556,-139.016256521422,0.968968065107773
254,0.115958102136088,0.000470263657736419,-139.017552654257,0.970649969977928
255,0.112887722665261,0.000475513757221167,-139.016909353658,0.969789127147404
