sigma_us,sigma_eu,mu_us,mu_eu,lcr_us
0.285931761933994,0.268163652199445,-1.26663857469125,-1.30653253235804,20.033
0.318020752639364,0.281339031000005,-1.16125319011155,-1.26296456132884,19.8
0.309459685945095,0.286752412284414,-1.18991963528404,-1.2472512321641,19.867
0.313901912632306,0.291192727289069,-1.17944607865363,-1.23803416957464,19.933
0.30656087528151,0.292620864530338,-1.20383855808439,-1.21032856551078,20
0.292392239776298,0.301453586896414,-1.24690865235388,-1.19341963495904,19.933
0.302578916323977,0.307986360651822,-1.21169455930252,-1.15651526154342,19.867
0.323485563878348,0.309443064612933,-1.15199625284468,-1.15210741662517,19.8
0.326719633007582,0.310256663691799,-1.14175644252368,-1.14308323759533,19.867
0.314653215386478,0.321010568297786,-1.17676433559618,-1.11646660037582,19.933
0.299811997657496,0.324593161759706,-1.25057615963026,-1.11548261672778,20
0.293449443123607,0.338734885475829,-1.25298762401777,-1.08840371135122,19.833
0.304007240163531,0.337218602675416,-1.21336965729194,-1.05904519282575,19.667
0.289916459716726,0.341368772292696,-1.26282358614175,-1.06568865740509,19.5
0.269347817010294,0.354254749502918,-1.3536514947284,-1.03050166632995,19.833
0.26772571411785,0.361906295937928,-1.35763725007185,-1.00119046685575,20.167
0.267391535520919,0.365581342650565,-1.36072674269088,-0.997572313287351,20.5
0.265493865251763,0.382675684755624,-1.3651360082597,-0.988483838911851,20.4
0.267934414022474,0.396790947283285,-1.3646507070055,-0.967033032411575,20.3
0.292126442655763,0.404291555524278,-1.30122669696753,-0.940020441891293,20.2
0.268194465088969,0.419052881839199,-1.37233619095838,-0.923766568297722,20.067
0.284674412456323,0.422667978780786,-1.32181289796209,-0.897100715398731,19.933
0.268505304374086,0.435904402187531,-1.38881483994578,-0.912299993856342,19.8
0.26703034070399,0.437695261276461,-1.37230393750693,-0.890728076328004,19.7
0.288345140329698,0.445980063717616,-1.30450350899218,-0.862712608015287,19.6
0.28355969278229,0.486739328851023,-1.32546863425215,-0.810112699860194,19.5
