sigma_us,sigma_eu,mu_us,mu_eu,lcr_us
0.409073443690486,0.34253616035334,-1.0658315270427,-1.21571434428237,12.367
0.426784353255464,0.338714595562305,-1.00457904795235,-1.20118004501103,12.433
0.408114008878549,0.376346442332282,-1.04861151156413,-1.09296655510833,12.5
0.406014814029006,0.37543299080043,-1.04995533349579,-1.0865474222689,12.433
0.411771617386861,0.390754686490715,-1.03591645015037,-1.05681639101223,12.367
0.40808917119957,0.394605532451935,-1.05313038586003,-1.02998420369708,12.3
0.391602846207173,0.382822182261054,-1.08820443421437,-1.03688346344968,12.533
0.382847321543901,0.390964651022636,-1.10015553188022,-1.02326469401954,12.767
0.366004244810658,0.381016610306448,-1.14323986630471,-1.04742497436391,13
0.351230871516774,0.37575582056346,-1.17472074357096,-1.05391508920732,13.5
0.350381875673614,0.368911458272169,-1.17488478675937,-1.07090734084354,14
0.329391838573036,0.35383639913274,-1.25908547609358,-1.10461283722839,14.5
0.319183495071547,0.331043271862801,-1.28479756407784,-1.17160795966196,14.833
0.337403846190839,0.326181407413065,-1.22142805648974,-1.18541058578809,15.167
0.340274294078891,0.314806382154854,-1.21295658637988,-1.22265323831918,15.5
0.328715301668471,0.318404298089248,-1.25491727317736,-1.2126694236631,15.833
0.342517227161213,0.311391564316142,-1.22171108358282,-1.23454127568885,16.167
0.362199416698221,0.311637868620121,-1.16290245038151,-1.23128627966617,16.5
0.35733390786389,0.303799844039658,-1.17705829106716,-1.25964160718491,16.833
0.372443796403145,0.302554895396398,-1.1281610462435,-1.25869726656105,17.167
0.388838676607447,0.299756091874693,-1.09014125690753,-1.26227716064236,17.5
0.357414631465567,0.298266540781817,-1.14410815925794,-1.27539498283072,17.833
0.381550930623439,0.297227719955109,-1.09681970999176,-1.28898473243654,18.167
0.362192576177752,0.289933594239025,-1.15777621996181,-1.31623093300797,18.5
0.342318726975524,0.286905900237854,-1.21082789140371,-1.32459127870066,19
0.348043387115008,0.284096588195654,-1.18488622704961,-1.33193112900685,19.5
0.353458727014535,0.277417701141806,-1.16840126239377,-1.34528848815529,20
0.334494593498244,0.279298911161683,-1.23213802222271,-1.34740377787807,20.5
0.331154237442097,0.279292247608272,-1.23931118107552,-1.35981726344889,21
0.338083449545572,0.265267629276658,-1.2228847155745,-1.39559590652842,21.5
0.332695766371839,0.260471774221563,-1.23919064589918,-1.42375007809922,21.833
0.360940208935003,0.264188087701516,-1.15498268966332,-1.40299113161492,22.167
0.348057347466803,0.268344058128959,-1.19722723046576,-1.38380822918356,22.5
0.332150849690914,0.270129450308389,-1.24079966532315,-1.37708758534443,21.833
0.32441427291139,0.269587986086871,-1.25776789256752,-1.37649652634551,21.167
0.332881935640906,0.284196705174748,-1.24021798547053,-1.32496627267555,20.5
0.351307800769098,0.293929808550774,-1.18936155074156,-1.32165973572736,20.267
0.325357772593715,0.304768308933174,-1.26663857469125,-1.30653253235804,20.033
0.361872444869072,0.319828832215626,-1.16125319011155,-1.26296456132884,19.8
0.352152725643301,0.326036141066887,-1.18991963528404,-1.2472512321641,19.867
0.357271927706549,0.331168452033624,-1.17944607865363,-1.23803416957464,19.933
0.348929985142357,0.332421594929364,-1.20383855808439,-1.21032856551078,20
0.332723331576125,0.342656384973815,-1.24690865235388,-1.19341963495904,19.933
0.344313795739276,0.349834454385924,-1.21169455930252,-1.15651526154342,19.867
0.368239905312853,0.351496519009691,-1.15199625284468,-1.15210741662517,19.8
0.371886184642278,0.352300756831132,-1.14175644252368,-1.14308323759533,19.867
0.358122223986593,0.364666268833084,-1.17676433559618,-1.11646660037582,19.933
0.341629821900776,0.368897420541713,-1.25057615963026,-1.11548261672778,20
0.334078869825554,0.385264551379454,-1.25298762401777,-1.08840371135122,19.833
0.346042156353578,0.382894831924447,-1.21336965729194,-1.05904519282575,19.667
0.330025174956495,0.387980280579638,-1.26282358614175,-1.06568865740509,19.5
0.30685368014263,0.402659718448847,-1.3536514947284,-1.03050166632995,19.833
0.304979108545275,0.411192247532557,-1.35763725007185,-1.00119046685575,20.167
0.30462401395329,0.415487041355752,-1.36072674269088,-0.997572313287351,20.5
0.302424011450238,0.435684986024994,-1.3651360082597,-0.988483838911851,20.4
0.305312642889419,0.452058671049238,-1.3646507070055,-0.967033032411575,20.3
0.333241672204272,0.46047360677067,-1.30122669696753,-0.940020441891293,20.2
0.305735262802519,0.477691711002562,-1.37233619095838,-0.923766568297722,20.067
0.324638782597673,0.48141653231396,-1.32181289796209,-0.897100715398731,19.933
0.30633332023866,0.497489042519191,-1.38881483994578,-0.912299993856342,19.8
0.304368849343486,0.499153322121045,-1.37230393750693,-0.890728076328004,19.7
0.328760077210502,0.508412010040079,-1.30450350899218,-0.862712608015287,19.6
0.323362528710059,0.555696636827161,-1.32546863425215,-0.810112699860194,19.5
0.306773825813768,0.554181990879093,-1.35367873142334,-0.784423269630997,19.567
0.305000857835631,0.56782465907665,-1.38629140045133,-0.772075047589737,19.633
0.305535789143873,0.555593891765238,-1.40187250721537,-0.786862961663327,19.7
0.290230796110849,0.544968818932505,-1.4142534465759,-0.77002588546257,19.567
0.290965101812014,0.54287203406385,-1.4086051149752,-0.761702034863932,19.433
0.301435287558696,0.5437841609436,-1.37037079374127,-0.764275880286309,19.3
0.286029864429591,0.565378613062795,-1.42312601059662,-0.748128496124724,19.133
0.306174569479852,0.58843752031013,-1.36715502553882,-0.726766140664684,18.967
0.305913689156705,0.606782346237354,-1.39418093600665,-0.750189440478272,18.8
0.28089854086099,0.564545405421867,-1.45258204777214,-0.722086106962257,18.7
0.304253450411543,0.566820543059305,-1.37601327585338,-0.709788809475362,18.6
0.279585450718551,0.568985502997842,-1.44592510314272,-0.725240356958637,18.5
0.267470918690448,0.576235059957812,-1.49208346546481,-0.699362769532723,18.667
0.271934772390178,0.569539243893941,-1.48851945252863,-0.685105406068599,18.833
0.27547115829894,0.557478279442141,-1.47231270547606,-0.704814684772619,19
0.257215914656849,0.558615081640478,-1.51339513553233,-0.701423018738363,18.833
0.257807680854417,0.556295983979631,-1.50563917674653,-0.702774435588823,18.667
