state,regime,sigma_us,erg_prob,Epi_us_gross_m,Epi_us_harm_gross_m,Epi_eu_gross_m,Epi_eu_harm_gross_m,Epi_us_ann_pct,Epi_eu_ann_pct
96,2,0.267097539208196,0.000647738630163263,0.998839865287489,0.99863805301675,1.00000268904017,1.00000268436277,-1.38331289434999,0.00322689593457159
97,2,0.280609586725128,0.000844620242906533,0.998818104936071,0.998637976877166,1.00000261742099,1.00000261333716,-1.40909092022833,0.00314095040314655
98,2,0.294805187630987,0.00108208337294428,0.998795927681,0.998637897458374,1.00000254259489,1.00000253906854,-1.43535646831859,0.00305115653085331
99,2,0.309718921824558,0.00136205486492937,0.998809697393469,0.998673523809857,1.00000246074768,1.00000245773818,-1.4190491165008,0.00295293718124423
100,2,0.325387118547719,0.00168445609934737,0.998876770289517,0.998761225679631,1.00000237113529,1.0000023685981,-1.33957989362194,0.00284539945523132
101,2,0.341847944881979,0.00204668998166629,0.998954109927548,0.998857368936192,1.00000227986511,1.00000227775332,-1.24787354978233,0.00273587243608819
102,2,0.359141498721913,0.00244324618999724,0.999036559053209,0.998956535406056,1.00000218807474,1.00000218634038,-1.15002252598393,0.00262572129199334
103,2,0.377309906451982,0.00286549857945718,0.999121905668684,0.999056423683041,1.0000020963271,1.00000209492205,-1.04863913566572,0.00251562152198126
104,2,0.396397425564669,0.00330175959041209,0.999208877802262,0.999155758512852,1.00000200495997,1.00000200383655,-0.945226740477667,0.00240597849268109
105,2,0.416450552469909,0.00373763561315892,0.999296641173231,0.999253748236684,1.00000191419772,1.00000191330901,-0.840773125149119,0.00229706144876385
106,2,0.437518135758424,0.00415669563167818,0.99938460643776,0.999349872098505,1.00000182419937,1.00000182349946,-0.735977913850416,0.00218906121016715
107,2,0.459651495194877,0.00454142644409894,0.99947233748982,0.999443777850014,1.00000173508246,1.00000173452658,-0.63136061754826,0.00208211882060105
108,2,0.482904546730709,0.0048744066429138,0.999559501603873,0.999535225655811,1.00000164693613,1.00000164648076,-0.527319297589934,0.001976341255161
109,2,0.507333933841167,0.00513959485456381,0.999645839720721,0.999624054459081,1.00000155982893,1.00000155943186,-0.424165476921345,0.00187181077619947
110,2,0.532999165506481,0.00532360208648903,0.999731147495813,0.999710160414746,1.00000147381381,1.0000014734342,-0.322146373279286,0.00176859091036707
111,2,0.559962761173287,0.00541680878099638,0.999815262555722,0.999793482324088,1.00000138893146,1.00000138852985,-0.221459827485504,0.00166673047854449
112,2,0.588290403049418,0.0054141972713324,0.999898055554407,0.999873991384605,1.00000130521269,1.00000130475104,-0.122264766392755,0.00156626646599101
113,2,0.618051096103062,0.00531579949243365,0.999979423669106,0.999951683733179,1.00000122268023,1.0000012221219,-0.0246888029203585,0.00146722614342565
114,2,0.649317336156015,0.00512670433391306,1.0000592857264,1.00002657487258,1.00000114135008,1.00000114065984,0.0711660739292075,0.00136962869186075
115,2,0.682165286480517,0.00485662238857627,1.00013757845543,1.00009869541229,1.00000106123254,1.00000106037655,0.165219127507732,0.00127348648324421
116,2,0.716674963329847,0.00451905979503697,1.00021425354396,1.00016808775405,1.00000098233312,1.00000098127894,0.257407439467738,0.00117880611496535
117,2,0.752930430854615,0.0041301989896353,1.00028927528166,1.00023480347389,1.00000090465321,1.00000090336975,0.347683160124412,0.00108558925757674
118,2,0.791020005879571,0.00370761549870988,1.00036261864278,1.00029890122911,1.00000082819071,1.00000082664824,0.43601127024111,0.0009938333773718
119,2,0.831036473039746,0.00326897216595139,1.00043426770489,1.00036044506863,1.00000075294049,1.0000007511106,0.522367733079143,0.000903532328289103
120,2,0.873077310800006,0.00283082458770236,1.00050421432901,1.00041950305847,1.00000067889486,1.00000067675043,0.606737949929803,0.000814676876470521
121,2,0.91724492890857,0.0024076465823656,1.00057245704707,1.00047614615698,1.00000060604394,1.0000006035591,0.689115455633593,0.000727255153343265
122,2,0.963646917862937,0.00201114749934395,1.00063900011563,1.00053044729046,1.00000053437595,1.00000053152609,0.76950080677809,0.000641253028077493
123,2,1.01239631099591,0.00164991083236787,1.00070385270529,1.00058248059155,1.00000046387753,1.00000046063923,0.847900626755616,0.000556654461725259
124,2,1.06361185982011,0.00132934282456445,1.00076702820171,1.00063232077065,1.00000039453398,1.00000039088497,0.924326780015106,0.000473441798720664
125,2,1.11741832330183,0.00105188629838785,1.00082854359977,1.00068004259739,1.00000032632944,1.00000032224862,0.998795653968521,0.000391596033399999
126,2,1.17394677176865,0.000817432572521701,1.00088841897592,1.00072572047333,1.00000025924716,1.00000025471449,1.07132753141694,0.000311097032601459
127,2,1.23333490619141,0.000623854431326898,1.00094667702683,1.00076942808103,1.00000019326958,1.00000018826613,1.14194603981626,0.000231923740545703
128,2,1.29572739361811,0.000467584855938435,1.00100334266479,1.00081123809714,1.00000012837854,1.00000012288638,1.21067766626681,0.000154054359469136
129,2,1.36127621957682,0.000344177092112333,1.00105844266176,1.00085122195949,1.0000000645554,1.00000005855761,1.2775513291039,7.74665058100865e-05
130,2,1.43014105830622,0.000248798177798552,1.00111200533565,1.00088944967979,1.00000000178112,0.999999995261746,1.34259799857301,2.13734019371969e-06
131,2,1.50248966171542,0.000176626701167185,1.00116406027332,1.00092598969489,0.999999940036399,0.999999932980415,1.40585036031708,-7.19562971651655e-05
132,2,1.57849826802075,0.000123143224756918,1.00121463808558,1.00096090875085,0.999999879301758,0.999999871695029,1.46734251636913,-0.000144837794469055
133,2,1.65835203105473,8.43163126303938e-05,1.00126377019046,1.00099427181478,0.999999819557597,0.999999811386853,1.52710971919461,-0.000216530668595283
134,2,1.74224547129323,5.66972957097515e-05,1.00131148862129,1.0010261420103,0.999999760784278,0.999999752037085,1.58518813495949,-0.000287058488335212
135,2,1.83038294969929,3.74426232782021e-05,1.00135782585675,1.00105658057299,0.999999702962185,0.999999693626903,1.64161463275285,-0.000356444795690525
